iteration,sigma,mean_daily_cost,alpha_mean,p_loss,v_loss,elapsed_s
1,0.5000,454.13,0.5598,-0.000443,0.415926,3951
2,0.4908,457.77,0.5615,-0.000222,0.412845,8101
3,0.4816,455.13,0.5697,-0.000200,0.429144,12371
4,0.4724,450.83,0.5264,-0.000199,0.398553,16385
5,0.4633,454.54,0.5032,-0.000141,0.393694,20394
6,0.4541,454.47,0.5771,-0.000011,0.388215,24530
7,0.4449,463.44,0.5552,-0.000038,0.365059,28719
8,0.4357,452.69,0.5260,-0.000184,0.313701,32742
9,0.4265,455.29,0.5941,-0.000025,0.296702,36931
10,0.4173,452.09,0.5355,-0.000172,0.326060,40947
11,0.4082,444.91,0.5804,-0.000073,0.313921,44926
12,0.3990,459.16,0.5324,-0.000064,0.303119,48856
13,0.3898,452.46,0.5758,-0.000047,0.297889,52917
14,0.3806,447.41,0.5237,-0.000243,0.266623,57193
15,0.3714,449.91,0.5713,-0.000420,0.267760,61400
16,0.3622,443.26,0.5707,-0.000250,0.303814,65200
17,0.3531,452.39,0.5493,0.000010,0.287664,69205
