Tag,Uhrzeit,Typ,Station_ID
1,11,Typ 1,157
1,11,Typ 2,340
1,12,Typ 1,296
1,14,Typ 1,328
1,14,Typ 2,18
2,11,Typ 1,371
2,12,Typ 1,268
2,14,Typ 1,298
3,12,Typ 1,232
3,14,Typ 2,93
3,15,Typ 1,211
3,16,Typ 1,309
4,11,Typ 1,340
4,12,Typ 1,356
4,13,Typ 1,243
5,9,Typ 2,184
5,11,Typ 2,166
5,12,Typ 1,265
5,12,Typ 2,325
5,13,Typ 1,283
5,14,Typ 1,137
5,14,Typ 1,355
5,15,Typ 1,270
6,10,Typ 1,141
6,11,Typ 2,227
6,13,Typ 2,89
7,12,Typ 1,149
8,9,Typ 1,253
8,10,Typ 1,43
8,10,Typ 1,54
8,11,Typ 1,181
9,12,Typ 2,11
9,14,Typ 1,256
9,15,Typ 1,356
9,16,Typ 1,384
10,8,Typ 1,120
10,9,Typ 1,335
10,13,Typ 2,352
11,9,Typ 1,371
11,11,Typ 2,338
11,14,Typ 2,331
12,8,Typ 2,42
12,9,Typ 1,277
12,12,Typ 1,191
12,14,Typ 1,65
12,14,Typ 1,371
12,15,Typ 2,144
13,9,Typ 2,88
13,12,Typ 2,216
13,13,Typ 1,377
13,13,Typ 1,156
13,14,Typ 1,295
14,9,Typ 1,44
14,10,Typ 1,344
14,11,Typ 1,377
14,11,Typ 1,185
14,14,Typ 1,90
14,14,Typ 2,70
14,16,Typ 1,191
14,16,Typ 2,14
15,9,Typ 2,198
15,12,Typ 1,228
15,13,Typ 2,276
15,15,Typ 1,201
16,10,Typ 2,220
16,14,Typ 2,316
17,11,Typ 1,181
17,11,Typ 2,243
17,16,Typ 1,367
17,16,Typ 1,40
18,15,Typ 2,349
19,9,Typ 2,255
19,16,Typ 1,272
20,11,Typ 1,248
20,12,Typ 1,374
20,15,Typ 1,136
20,16,Typ 2,11
21,11,Typ 1,109
21,12,Typ 1,305
21,13,Typ 1,145
21,14,Typ 1,298
21,16,Typ 1,263
22,8,Typ 1,24
22,9,Typ 1,323
22,13,Typ 1,368
22,15,Typ 1,351
22,16,Typ 1,90
23,8,Typ 1,97
23,11,Typ 1,227
23,11,Typ 1,74
23,15,Typ 1,181
24,8,Typ 1,136
24,13,Typ 2,149
26,8,Typ 1,71
26,12,Typ 1,293
27,11,Typ 2,65
27,14,Typ 1,193
27,16,Typ 1,178
28,15,Typ 1,286
28,16,Typ 1,227
29,9,Typ 1,263
29,10,Typ 1,85
29,11,Typ 1,216
29,11,Typ 1,69
29,11,Typ 2,204
29,12,Typ 2,32
29,16,Typ 1,271
30,8,Typ 2,280
30,9,Typ 2,34
30,11,Typ 1,314
