id,ort,strecke,start_lat,start_lon,ziel_lat,ziel_lon,standard_zeit,8_uhr,8_uhr_stau,9_uhr,9_uhr_stau,10_uhr,10_uhr_stau,11_uhr,11_uhr_stau,12_uhr,12_uhr_stau,13_uhr,13_uhr_stau,14_uhr,14_uhr_stau,15_uhr,15_uhr_stau,16_uhr,16_uhr_stau,17_uhr,17_uhr_stau
1,Greinbergknoten,B8 - Versbacher Str.,49.799176,9.972396,49.803102,9.960233,103,157,54,116,13,111,8,112,9,113,10,119,16,159,56,163,60,147,44,166,63
2,Greinbergknoten,B8 - B19 Lengfeld,49.799176,9.972396,49.803179,9.963349,94,112,18,111,17,101,7,104,10,102,8,107,13,155,61,154,60,114,20,157,63
3,Greinbergknoten,B19 - B8,49.804189,9.964765,49.799796,9.965615,98,207,109,100,2,98,0,105,7,105,7,107,9,107,9,107,9,112,14,142,44
4,Greinbergknoten,B8 - Versbacher Str.,49.799699,9.959187,49.803102,9.960233,42,43,1,40,-2,41,-1,44,2,43,1,46,4,46,4,45,3,45,3,45,3
5,Greinbergknoten,B8 - B19 Würzburg,49.799176,9.972396,49.799777,9.956896,134,223,89,199,65,156,22,160,26,157,23,166,32,201,67,209,75,195,61,221,87
6,Greinbergknoten,Auverastraße - B8,49.801977,9.940932,49.799699,9.959187,159,256,97,195,36,172,13,182,23,183,24,189,30,209,50,205,46,260,101,270,111
7,Greinbergknoten,Auverastraße - B19,49.801977,9.940932,49.79926,9.957212,147,243,96,179,32,160,13,168,21,171,24,178,31,199,52,196,49,253,106,260,113
8,Greinbergknoten,B19 Lengfeld - B19 Würzburg,49.804909,9.966103,49.799777,9.956896,106,251,145,117,11,106,0,111,5,110,4,114,8,145,39,145,39,144,38,155,49
9,Haugering,Berliner Ring - Bahnhof,49.79961,9.940653,49.800526,9.933084,109,147,38,101,-8,114,5,110,1,111,2,118,9,114,5,118,9,144,35,161,52
10,Haugering,Bahnhof - Berliner Ring,49.800417,9.932098,49.799577,9.940487,102,114,12,102,0,117,15,108,6,107,5,145,43,114,12,108,6,115,13,114,12
11,Röntgenring,Bahnhof - Baustelle,49.800526,9.933084,49.799727,9.927096,68,75,7,70,2,100,32,90,22,84,16,90,22,88,20,89,21,84,16,99,31
12,Röntgenring,Baustelle - Bahnhof,49.799554,9.92667,49.800462,9.93339,86,108,22,88,2,108,22,94,8,96,10,102,16,101,15,99,13,103,17,103,17
13,B19/Stadtring Süd,Waltherstraße Lengfeld - Siligmüllerstraße,49.797416,9.952802,49.794246,9.949838,94,148,54,109,15,101,7,109,15,108,14,116,22,157,63,162,68,161,67,184,90
14,B19/Stadtring Süd,Siligmüllerstraße - Waltherstraße Lengfeld,49.794994,9.946261,49.797387,9.952899,122,179,57,153,31,145,23,141,19,149,27,166,44,176,54,184,62,198,76,178,56
15,B19/Stadtring Süd,Waltherstraße Lengfeld - Waltherstraße,49.797416,9.952802,49.792939,9.949896,104,154,50,145,41,114,10,149,45,147,43,157,53,173,69,179,75,178,74,200,96
16,B19/Stadtring Süd,Waltherstraße - Waltherstraße Lengfeld,49.792822,9.949897,49.797387,9.952899,78,94,16,87,9,82,4,86,8,89,11,94,16,95,17,94,16,95,17,96,18
17,B19/Stadtring Süd,Siligmüllerstraße - Salvatorstraße,49.794994,9.946261,49.793787,9.952162,101,155,54,110,9,108,7,114,13,119,18,154,53,163,62,175,74,179,78,151,50
18,B19/Stadtring Süd,Salvatorstraße - Siligmüllerstraße,49.793299,9.953006,49.794755,9.946692,105,160,55,116,11,114,9,107,2,109,4,111,6,112,7,119,14,119,14,112,7
19,B19/Stadtring Süd,Waltherstraße Lengfeld - Salvatorstraße,49.797416,9.952802,49.793787,9.952162,101,157,56,118,17,107,6,117,16,117,16,151,50,166,65,175,74,171,70,196,95
20,B19/Stadtring Süd,Waltherstraße - Siligmüllerstraße,49.792822,9.949897,49.794246,9.949838,53,74,21,62,9,57,4,58,5,61,8,64,11,66,13,67,14,69,16,67,14
21,B19/Stadtring Süd,Waltherstraße - Salvatorstraße,49.792822,9.949897,49.793787,9.952162,60,79,19,70,10,63,3,66,6,69,9,73,13,73,13,76,16,75,15,76,16
22,Brücke d. Deutschen Einheit,Brücke - Veitshöchheimer Straße,49.801859,9.919918,49.803464,9.920038,43,41,-2,39,-4,42,-1,46,3,44,1,46,3,44,1,45,2,47,4,48,5
23,Brücke d. Deutschen Einheit,Veitshöchheimer Straße - Brücke,49.803532,9.919698,49.802021,9.920049,37,50,13,31,-6,34,-3,37,0,35,-2,38,1,37,0,41,4,52,15,64,27
24,Brücke d. Deutschen Einheit,Brücke - Veitshöchheimer Straße Stadt,49.801859,9.919918,49.801962,9.922422,45,46,1,40,-5,45,0,46,1,45,0,44,-1,45,0,48,3,49,4,49,4
25,Brücke d. Deutschen Einheit,Veitshöchheimer Straße Stadt - Brücke,49.801961,9.922554,49.802021,9.920049,56,65,9,51,-5,52,-4,55,-1,56,0,56,0,55,-1,59,3,66,10,77,21
26,Brücke d. Deutschen Einheit,Veitshöchheimer Straße - Veitshöchheimer Straße Stadt,49.803532,9.919698,49.801962,9.922422,43,50,7,36,-7,43,0,45,2,42,-1,42,-1,43,0,45,2,51,8,54,11
27,Brücke d. Deutschen Einheit,Veitshöchheimer Straße Stadt - Veitshöchheimer Straße,49.801961,9.922554,49.803464,9.920038,38,36,-2,34,-4,36,-2,40,2,40,2,39,1,38,0,38,0,39,1,41,3
28,Friedensbrücke,Dreikronenstraße - Friedensbrücke,49.796336,9.923354,49.798694,9.922607,77,146,69,85,8,72,-5,83,6,75,-2,95,18,90,13,91,14,105,28,108,31
29,Friedensbrücke,Friedensbrücke - Dreikronenstraße,49.798958,9.923162,49.796548,9.923063,75,85,10,76,1,78,3,78,3,79,4,87,12,81,6,83,8,85,10,87,12
30,Friedensbrücke,Dreikronenstraße - Mainaustraße,49.796336,9.923354,49.799032,9.920518,76,146,70,86,10,73,-3,80,4,73,-3,95,19,86,10,91,15,104,28,103,27
