iteration,sigma,mean_daily_cost,alpha_mean,p_loss,v_loss,elapsed_s
1,0.5000,1031.51,0.4786,-0.000604,0.585199,2063
2,0.4908,968.94,0.4997,0.000129,0.579749,4183
3,0.4816,1105.44,0.4838,-0.000049,0.603936,6213
4,0.4724,1095.40,0.4494,-0.000165,0.569494,2125
5,0.4633,1003.23,0.4970,-0.000039,0.555417,2155
6,0.4541,1064.50,0.4930,-0.000262,0.496219,4229
7,0.4449,1054.57,0.4635,-0.000039,0.532064,6162
8,0.4357,1041.27,0.4831,-0.000079,0.455614,8079
9,0.4265,1023.13,0.4547,-0.000065,0.507183,9983
10,0.4173,1037.32,0.4587,-0.000073,0.444030,12039
11,0.4082,1107.49,0.4877,-0.000108,0.406508,14032
12,0.3990,1082.37,0.4824,-0.000145,0.376269,15978
13,0.3898,1026.46,0.5153,-0.000408,0.378145,17913
14,0.3806,1012.59,0.5001,0.000062,0.428195,19964
15,0.3714,1057.55,0.4466,-0.000174,0.365617,22010
16,0.3622,1021.32,0.4297,-0.000123,0.407744,24010
17,0.3531,1048.41,0.4323,-0.000023,0.426823,26209
18,0.3439,1046.84,0.4503,-0.000211,0.353509,28166
