iteration,sigma,mean_daily_cost,alpha_mean,p_loss,v_loss,elapsed_s
1,0.5000,949.68,0.4906,-0.000267,0.083563,2140
2,0.4908,946.08,0.5117,-0.000062,0.081130,4327
3,0.4816,928.77,0.4957,-0.000063,0.083782,6489
4,0.4724,954.77,0.5061,-0.000127,0.063574,8633
5,0.4633,955.37,0.4955,-0.000227,0.070870,10784
6,0.4541,937.69,0.5003,-0.000112,0.072448,13052
7,0.4449,947.02,0.5255,-0.000258,0.066415,15189
8,0.4357,967.75,0.4899,0.000093,0.048498,17292
9,0.4265,961.78,0.5294,-0.000055,0.042246,19322
10,0.4173,981.00,0.5397,-0.000106,0.050534,21454
11,0.4082,1031.94,0.5248,-0.000082,0.038806,23778
12,0.3990,923.30,0.5378,-0.000048,0.049769,25866
13,0.3898,962.58,0.4935,-0.000012,0.045921,27946
