iteration,sigma,mean_daily_cost,alpha_mean,p_loss,v_loss,elapsed_s
1,0.5000,1236.63,0.5141,-0.000049,0.310563,26
2,0.4908,1283.98,0.4822,-0.000023,0.361372,53
3,0.4816,1293.43,0.5086,-0.000097,0.296611,80
4,0.4724,1290.91,0.5100,-0.000014,0.287770,106
5,0.4633,1269.18,0.4963,-0.000013,0.261190,133
6,0.4541,1265.40,0.5008,-0.000055,0.296654,158
7,0.4449,1378.92,0.5191,-0.000101,0.303751,184
8,0.4357,1261.38,0.4762,-0.000057,0.274748,210
9,0.4265,1315.48,0.5023,-0.000202,0.310050,237
10,0.4173,1231.00,0.5259,-0.000139,0.285977,262
11,0.4082,1311.88,0.5299,-0.000035,0.240530,288
12,0.3990,1384.64,0.5235,-0.000071,0.222333,314
13,0.3898,1303.73,0.4963,-0.000066,0.241527,340
14,0.3806,1341.67,0.5144,-0.000183,0.230931,366
15,0.3714,1316.96,0.4880,-0.000022,0.194555,392
16,0.3622,1267.01,0.5008,-0.000124,0.226496,421
17,0.3531,1203.38,0.5072,0.000032,0.178768,449
18,0.3439,1254.87,0.5109,-0.000128,0.192028,479
19,0.3347,1318.91,0.4798,-0.000195,0.182909,506
20,0.3255,1299.44,0.5071,-0.000122,0.175268,533
21,0.3163,1277.63,0.4921,-0.000084,0.182820,558
22,0.3071,1292.46,0.4967,-0.000075,0.190511,585
23,0.2980,1196.00,0.5164,0.000008,0.160045,611
24,0.2888,1292.05,0.5181,-0.000116,0.201691,636
25,0.2796,1230.44,0.5066,-0.000262,0.155159,662
26,0.2704,1286.01,0.5155,-0.000166,0.160666,688
27,0.2612,1232.80,0.5046,-0.000093,0.133217,714
28,0.2520,1247.70,0.5182,-0.000113,0.134806,741
29,0.2429,1315.41,0.5136,-0.000156,0.107065,766
30,0.2337,1261.25,0.5207,-0.000448,0.159016,792
31,0.2245,1274.33,0.5009,-0.000058,0.136193,819
32,0.2153,1337.74,0.5049,-0.000165,0.095824,846
33,0.2061,1224.18,0.5166,-0.000066,0.123692,872
34,0.1969,1210.28,0.5122,-0.000248,0.111438,899
35,0.1878,1210.24,0.5119,-0.000127,0.120098,926
36,0.1786,1295.65,0.5176,-0.001073,0.131390,951
37,0.1694,1311.95,0.5091,0.000083,0.077336,977
38,0.1602,1282.37,0.5049,-0.000305,0.076149,1003
39,0.1510,1256.98,0.4988,-0.000061,0.106497,1029
40,0.1418,1297.87,0.4999,0.000001,0.075148,1056
41,0.1327,1288.15,0.5090,-0.000384,0.060301,1082
42,0.1235,1281.77,0.5025,-0.000971,0.067122,1108
43,0.1143,1258.72,0.5008,-0.000123,0.067332,1134
44,0.1051,1309.44,0.4991,-0.002904,0.045523,1159
45,0.0959,1253.93,0.5036,-0.000903,0.039198,1185
46,0.0867,1332.37,0.4972,-0.000076,0.063952,1212
47,0.0776,1301.21,0.4927,-0.001467,0.048828,1237
48,0.0684,1306.63,0.4960,-0.000196,0.062369,1263
49,0.0592,1353.97,0.4890,-0.000038,0.044400,1290
50,0.0500,1246.08,0.4922,-0.000050,0.058550,1316
