label,n,gesamtkosten_mw,gesamtkosten_sd,lohnkosten_mw,fahrtkosten_mw,ausfallkosten_mw,same_day_rate_mw,carryover_mw,replan_overrides_mw
CFA (centrality),500,40186.89,5161.28,22271.37,1220.72,16694.81,67.57,52.8,0.0
CFA (value-based),500,33792.83,4529.47,21520.13,1161.21,11111.48,68.28,47.66,0.0
CFA+Rollout,500,33728.68,4488.61,21498.4,1159.0,11071.29,68.26,47.62,1.27
DB (centrality),500,40182.85,5132.66,22266.7,1213.86,16702.29,67.41,53.16,0.0
DB (value-based),500,33670.96,4550.24,21490.76,1158.35,11021.86,68.15,47.68,0.0
DB+Rollout,500,33626.78,4573.18,21472.91,1156.15,10997.72,68.06,47.81,1.2
Myopic (centrality),500,40410.01,5139.34,22098.32,1171.13,17140.56,67.26,53.38,0.0
Myopic (value-based),500,34885.05,4828.83,21577.11,1193.89,12114.06,67.86,47.94,0.0
Myopic+ (centrality),500,40144.0,5202.14,22285.79,1216.1,16642.1,67.52,53.29,0.0
Myopic+ (value-based),500,34312.52,4732.06,21545.6,1211.03,11555.89,67.84,47.58,0.0
Myopic++Rollout,500,34293.57,4664.95,21552.67,1210.78,11530.13,67.83,47.6,0.81
Myopic+Rollout,500,34889.97,4847.09,21571.37,1195.13,12123.47,67.83,47.97,0.78
